Id,lotArea,quality,condition,BsmtSF,floorOneSF,floorTwoSF,bsmtFullBath,noRooms,firePlaces,garageCars,woodDeckSF,salePrice
475,5330,8,5,1494,1652,0,1,6,0,2,96,251000
476,8480,5,6,970,970,0,1,5,0,2,0,132500
477,13125,6,5,1478,1493,0,1,7,1,2,140,208900
478,13693,9,5,2153,2069,574,0,9,1,3,414,380000
479,10637,8,5,1705,1718,0,1,7,1,3,208,297000
480,5925,4,7,907,1131,0,0,7,0,2,0,89471
481,16033,9,5,1833,1850,0,1,8,1,3,519,326000
482,11846,9,5,1792,1792,0,1,6,1,3,206,374000
483,2500,7,8,910,916,910,1,7,1,1,0,155000
484,4500,6,5,1216,1216,0,1,5,0,2,0,164000
485,7758,5,7,999,999,0,1,6,0,1,0,132500
486,9600,5,7,1113,1113,0,0,5,1,1,0,147000
487,10289,5,7,1073,1073,0,1,6,0,2,0,156000
488,12243,5,6,1484,1484,0,0,7,1,2,224,175000
489,10800,5,4,954,1766,648,0,10,1,2,142,160000
490,1526,4,8,630,630,0,1,3,0,1,0,86000
491,2665,5,6,264,616,688,0,4,1,1,141,115000
492,9490,6,7,806,958,620,1,5,2,1,0,133000
493,15578,6,5,728,728,728,0,8,0,2,0,172785
494,7931,5,6,1269,1269,0,0,6,1,1,0,155000
495,5784,5,8,190,886,0,0,4,0,1,144,91300
496,7879,4,5,720,720,0,0,4,0,0,0,34900
497,12692,8,5,3200,3228,0,1,10,1,2,264,430000
498,9120,7,6,1026,1133,687,1,8,0,1,0,184000
499,7800,5,7,864,899,0,0,5,0,1,64,130000
500,7535,5,7,912,912,0,0,5,0,1,12,120000
501,1890,6,5,672,672,546,0,7,0,1,144,113000
502,9803,7,5,866,866,902,0,7,0,2,0,226700
503,9170,5,7,1214,1214,0,1,6,0,2,0,140000
504,15602,7,8,1501,1801,0,1,6,2,2,0,289000
505,2308,6,5,855,855,467,0,6,1,2,260,147000
506,7596,5,5,960,960,1000,0,10,0,2,0,124500
507,9554,8,5,777,1065,846,0,8,1,2,182,215000
508,7862,6,5,1218,1218,0,0,4,0,2,0,208300
509,9600,7,9,689,689,689,0,7,1,2,0,161000
510,9600,5,6,1041,1041,0,1,6,0,1,224,124500
511,14559,5,7,1008,1363,0,1,6,2,1,324,164900
512,6792,7,5,1368,1368,0,0,6,1,2,132,202665
513,9100,5,5,864,864,0,1,5,0,2,0,129900
514,9187,6,5,1084,1080,0,0,5,0,2,120,134000
515,10594,5,5,768,789,0,0,5,0,1,0,96500
516,12220,10,5,2006,2020,0,1,9,1,3,156,402861
517,10448,6,6,689,1378,741,0,7,1,2,0,158000
518,10208,7,5,1264,1277,1067,0,7,1,3,220,265000
519,9531,6,5,794,882,914,1,7,0,2,0,211000
520,10918,7,9,1276,1276,804,0,9,2,1,0,234000
521,10800,4,7,0,694,600,0,7,0,0,220,106250
522,11988,6,6,1244,1244,0,0,6,2,1,0,150000
523,5000,6,7,1004,1004,660,0,7,2,2,0,159000
524,40094,10,5,3138,3138,1538,1,11,1,3,208,184750
525,11787,7,5,1379,1383,1015,1,8,1,3,239,315750
526,7500,7,5,1257,1266,0,0,6,1,2,38,176000
527,13300,5,7,928,928,0,0,4,0,1,261,132000
528,14948,9,5,1452,1476,1237,1,11,1,3,126,446261
529,9098,4,7,528,605,0,1,5,0,0,0,86000
530,32668,6,3,2035,2515,0,1,9,2,2,0,200624
531,10200,6,5,1461,1509,0,1,5,1,2,224,175000
532,6155,6,8,611,751,611,0,6,0,2,0,128000
533,7200,5,7,0,827,0,0,5,1,1,0,107500
534,5000,1,3,0,334,0,0,2,0,0,0,39300
535,9056,8,5,707,707,707,0,6,1,2,100,178000
536,7000,5,7,1117,820,527,1,5,0,0,85,107500
537,8924,7,5,880,880,844,0,8,0,2,120,188000
538,12735,4,5,864,864,0,0,5,0,2,216,111250
539,11553,5,5,1051,1159,0,0,7,1,1,466,158000
540,11423,8,5,1581,1601,0,1,6,1,2,180,272000
541,14601,9,5,1838,1838,0,1,8,1,3,270,315000
542,11000,8,5,969,997,1288,0,8,1,3,0,248000
543,10140,7,5,1650,1680,0,1,7,1,2,78,213250
544,4058,7,5,723,767,0,1,4,0,1,120,133000
545,17104,7,5,654,664,832,1,7,1,2,100,179665
546,13837,7,5,1204,1377,806,0,9,0,3,0,229000
547,8737,6,7,1065,915,720,0,6,1,2,0,210000
548,7244,5,7,768,768,0,1,5,0,2,104,129500
549,8235,5,7,825,825,0,1,4,0,2,140,125000
550,9375,7,5,912,912,1182,0,8,1,2,182,263000
551,4043,6,6,1069,1069,0,0,4,0,2,0,140000
552,6000,5,6,928,928,0,0,5,0,1,0,112500
553,11146,8,5,1709,1717,0,0,7,1,3,169,255500
554,8777,4,5,0,1126,0,0,5,0,2,0,108000
555,10625,7,5,998,1006,1040,1,8,1,3,320,284000
556,6380,5,6,993,1048,0,0,5,1,1,0,113000
557,14850,5,5,1092,1092,0,1,6,1,1,268,141000
558,11040,4,6,637,897,439,0,7,0,1,0,108000
559,21872,7,5,729,729,717,0,6,1,2,264,175000
560,3196,7,5,1374,1557,0,0,7,1,2,143,234000
561,11341,5,6,1392,1392,0,1,5,1,2,0,121500
562,10010,5,5,1389,1389,0,1,6,1,2,240,170000
563,13907,5,6,996,996,0,1,6,1,0,144,108000
564,21780,6,7,1163,1163,511,0,8,1,2,72,185000
565,13346,7,5,1095,1166,1129,1,9,1,2,0,268000
566,6858,6,4,806,841,806,1,6,0,1,0,128000
567,11198,9,5,1122,1134,1370,0,11,1,3,144,325000
568,10171,7,5,1517,1535,0,0,7,0,2,0,214000
569,12327,8,8,1496,1496,636,1,5,1,2,349,316600
570,7032,5,5,943,943,0,1,4,2,2,42,135960
571,13101,5,5,1728,1728,0,0,10,0,2,0,142600
572,7332,6,6,864,864,0,1,4,0,1,168,120000
573,13159,7,5,846,846,846,0,6,0,2,208,224500
574,9967,7,5,384,774,656,0,8,1,2,100,170000
575,10500,5,7,372,576,533,0,5,0,1,35,139000
576,8480,5,5,832,832,384,0,6,0,1,158,118500
577,6292,7,7,861,877,600,0,6,1,1,0,145000
578,11777,5,6,1164,1320,0,1,6,2,2,160,164500
579,3604,7,5,689,703,689,0,5,0,2,0,146000
580,12150,5,5,1050,1050,745,0,7,0,1,0,131500
581,14585,6,6,1144,1429,0,0,7,2,2,216,181900
582,12704,8,5,2042,2042,0,0,8,1,3,0,253293
583,11841,6,5,816,816,0,1,5,0,0,0,118500
584,13500,10,9,1237,1521,1254,0,9,1,2,105,325000
585,6120,4,7,884,989,584,0,6,0,1,0,133000
586,11443,8,5,1868,2028,0,1,7,2,3,326,369900
587,10267,6,7,816,838,0,1,5,0,1,0,130000
588,8740,5,6,840,860,0,1,4,0,2,0,137000
589,25095,5,8,1437,1473,0,2,5,2,1,0,143000
590,9100,5,6,742,779,0,0,4,0,1,0,79500
591,8320,7,5,770,770,812,0,6,0,2,0,185900
592,13478,10,5,1722,1728,568,1,10,1,3,382,451950
593,6600,5,8,816,816,0,1,4,0,2,0,138000
594,4435,6,5,848,848,0,1,4,0,2,140,140000
595,7990,5,6,924,924,0,0,5,0,1,0,110000
596,11302,8,5,1814,1826,0,1,7,1,3,180,319000
597,3600,6,7,684,684,684,0,7,0,1,0,114504
598,3922,7,5,1258,1402,0,0,7,1,3,120,194201
599,12984,5,6,1430,1647,0,1,7,1,2,0,217500
600,1950,6,6,716,716,840,1,6,1,2,161,151000
601,10927,8,5,1058,1058,846,1,8,1,2,179,275000
602,9000,6,6,780,780,595,0,6,1,1,0,141000
603,10041,8,5,908,927,988,1,8,1,2,120,220000
604,3182,7,5,600,600,600,0,4,0,2,0,151000
605,12803,7,5,1494,1494,0,1,6,1,2,192,221000
606,13600,7,6,768,1186,800,0,7,3,2,0,205000
607,12464,5,5,1040,1040,0,1,6,0,2,168,152000
608,7800,5,8,896,1112,896,1,8,0,1,103,225000
609,12168,8,6,965,1940,1254,0,10,2,2,0,359100
610,7943,4,5,1029,1029,0,1,5,0,1,64,118500
611,11050,9,5,1440,1476,677,1,8,2,3,253,313000
612,10395,6,6,1032,1032,0,0,6,1,2,0,148000
613,11885,8,5,1299,1299,573,1,7,1,2,160,261500
614,8402,5,5,1120,1120,0,0,6,0,0,0,147000
615,1491,4,6,630,630,0,1,3,0,0,96,75500
616,8800,6,7,936,1054,0,1,6,0,2,120,137500
617,7861,6,5,783,807,702,1,7,1,2,100,183200
618,7227,6,6,832,832,0,0,4,0,2,0,105500
619,11694,9,5,1822,1828,0,0,9,1,3,0,314813
620,12244,8,5,1482,1482,780,1,10,2,3,168,305000
621,8248,3,3,864,864,0,1,5,0,0,0,67000
622,10800,6,7,1522,1548,1066,0,9,1,2,38,240000
623,7064,5,6,980,980,0,0,6,0,2,192,135000
624,2117,6,5,756,756,756,0,4,1,2,0,168500
625,10400,6,5,732,1012,778,1,8,1,2,148,165150
626,10000,6,6,1116,1116,0,0,5,0,2,0,160000
627,12342,5,5,978,1422,0,0,6,1,1,0,139900
628,9600,6,6,1156,1520,0,1,7,2,1,0,153000
629,11606,5,5,1040,1040,1040,0,9,2,2,335,135000
630,9020,6,5,1248,1350,0,1,6,0,2,176,168500
631,9000,5,6,636,1089,661,0,8,0,1,0,124000
632,4590,8,5,1554,1554,0,0,6,1,2,156,209500
633,11900,7,5,1386,1411,0,0,6,1,2,192,82500
634,9250,5,7,1056,1056,0,0,6,0,1,390,139400
635,6979,6,5,1056,1056,0,2,4,0,2,264,144000
636,10896,6,7,1440,1440,1440,0,14,0,0,0,200000
637,6120,2,3,264,800,0,0,4,1,0,0,60000
638,6000,5,4,811,811,576,0,7,0,1,0,93000
639,8777,5,7,796,796,0,0,4,0,0,328,85000
640,3982,8,5,1520,1567,0,1,7,1,3,312,264561
641,12677,8,5,1518,1518,0,0,6,1,2,185,274000
642,7050,7,5,1057,1057,872,1,7,1,2,0,226000
643,13860,8,7,1952,2000,704,1,9,3,2,269,345000
644,10793,5,5,780,780,840,0,7,0,2,208,152000
645,9187,9,5,1766,1766,0,1,7,1,3,195,370878
646,10530,6,5,981,981,0,1,5,0,2,0,143250
647,7200,5,5,0,1048,0,0,7,0,2,0,98300
648,10452,6,5,1094,1094,0,0,5,2,2,0,155000
649,7700,6,5,756,1051,788,0,7,1,2,0,155000
650,1936,4,6,630,630,0,1,3,0,0,0,84500
651,8125,7,6,813,822,843,0,7,0,2,0,205950
652,9084,4,5,755,755,755,1,7,1,1,120,108000
653,8750,7,5,880,909,807,0,7,1,2,0,191000
654,10320,6,7,756,756,713,0,7,0,1,57,135000
655,10437,8,6,2109,2113,0,1,7,1,3,236,350000
656,1680,6,5,525,525,567,0,6,0,1,0,88000
657,10007,5,7,1053,1053,0,1,5,0,1,0,145500
658,7200,7,6,776,851,651,0,6,1,1,0,149000
659,17503,6,5,912,912,546,0,6,1,1,192,97500
660,9937,5,7,1486,1486,0,1,7,0,2,0,167000
661,12384,7,7,793,1142,793,0,7,1,2,0,197900
662,46589,8,7,1629,1686,762,1,8,1,3,517,402000
663,13560,6,3,1392,1392,0,1,5,2,2,0,110000
664,10012,4,5,1138,1181,0,1,6,0,2,0,137500
665,20896,8,5,2077,2097,0,1,8,1,3,192,423000
666,11194,8,5,1406,1454,482,0,7,1,2,188,230500
667,18450,6,5,1021,1465,915,0,7,1,2,0,129000
668,8125,6,5,1408,1679,0,1,7,1,2,224,193500
669,14175,5,6,1188,1437,0,1,6,1,2,304,168000
670,11600,4,5,700,1180,0,0,5,1,1,0,137500
671,8633,6,5,738,738,738,1,7,0,2,100,173500
672,6629,6,6,672,697,672,1,6,0,1,147,103600
673,11250,6,6,1208,1208,0,1,6,1,2,198,165000
674,14442,6,7,1477,1839,0,1,7,2,2,0,257500
675,9200,6,6,1136,1136,0,1,5,1,1,426,140000
676,2289,6,6,855,855,586,0,7,1,2,28,148500
677,9600,4,2,1095,1095,679,1,8,0,3,0,87000
678,9022,5,8,768,792,0,0,5,0,1,316,109500
679,11844,8,5,2046,2046,0,0,7,1,3,322,372500
680,9945,5,5,988,988,0,1,5,0,2,0,128500
681,8012,6,5,923,923,0,0,5,1,1,80,143000
682,4500,5,5,793,848,672,0,6,0,1,0,159434
683,2887,6,5,1291,1291,0,1,6,1,2,307,173000
684,11248,9,5,1626,1668,0,1,7,1,3,257,285000
685,16770,7,5,1195,1195,644,0,7,0,2,0,221000
686,5062,7,5,1190,1190,900,1,6,1,2,219,207500
687,10207,7,6,874,874,887,0,7,0,2,144,227875
688,5105,7,5,551,551,551,0,4,0,2,0,148800
689,8089,8,6,1419,1419,0,1,7,1,2,140,392000
690,7577,6,5,1362,1362,0,0,6,1,2,192,194700
691,4426,6,5,848,848,0,1,3,1,2,149,141000
692,21535,10,6,2444,2444,1872,0,10,2,3,382,755000
693,26178,7,5,1210,1238,1281,1,9,2,2,320,335000
694,5400,5,6,1073,1073,0,0,4,0,1,0,108480
695,6120,5,6,927,1067,472,0,5,0,2,112,141500
696,13811,6,6,1112,1137,0,1,5,1,2,125,176000
697,6000,5,7,616,616,0,0,4,0,1,0,89000
698,6420,5,7,980,1148,0,0,6,0,1,0,123500
699,8450,5,8,894,894,0,1,5,1,1,416,138500
700,4282,7,5,1391,1391,0,0,5,0,2,156,196000
701,14331,8,5,1800,1800,0,1,7,1,3,270,312500
702,9600,7,5,1164,1164,0,0,6,0,2,0,140000
703,12438,8,5,1234,1264,1312,0,10,1,3,324,361919
704,7630,5,9,360,1032,780,0,8,1,2,344,140000
705,8400,7,5,1473,1484,0,1,7,0,2,0,213000
706,5600,4,5,0,372,720,0,7,0,0,0,55000
707,115149,7,5,1643,1824,0,1,5,2,2,380,302000
708,6240,8,5,1324,1324,0,1,6,1,2,192,254000
709,9018,7,5,728,728,728,0,8,1,2,100,179540
710,7162,5,7,876,904,0,0,6,0,1,0,109900
711,4130,3,6,270,729,0,0,5,0,0,0,52000
712,8712,4,7,859,859,319,0,7,0,1,68,102776
713,4671,8,5,1228,1228,0,1,5,1,2,168,189000
714,9873,4,5,960,960,0,1,6,0,2,0,129000
715,13517,6,8,725,725,754,0,6,0,2,0,130500
716,10140,6,5,1064,1350,0,0,7,1,2,0,165000
717,10800,7,8,718,1576,978,0,8,0,2,0,159500
718,10000,5,6,1176,1178,0,0,5,1,2,224,157000
719,10542,7,5,1311,1325,1093,1,9,1,3,250,341000
720,9920,5,6,971,971,0,0,5,1,1,0,128500
721,6563,8,5,1742,1742,0,1,5,1,2,114,275000
722,4426,6,5,848,848,0,1,3,0,2,160,143000
723,8120,4,7,864,864,0,0,5,0,2,0,124500
724,8172,4,6,941,997,473,0,7,0,1,0,135000
725,13286,9,5,1698,1698,0,1,8,1,3,327,320000
726,6960,4,6,864,864,0,0,5,0,2,96,120500
727,21695,6,9,880,1680,0,1,5,1,2,292,222000
728,7314,7,5,1232,1232,0,1,6,0,2,132,194500
729,11475,5,5,1584,1776,0,1,9,0,3,0,110000
730,6240,4,5,780,848,0,0,5,0,2,0,103000
731,5389,8,5,1595,1616,0,1,5,1,2,237,236500
732,9590,7,5,868,1146,0,1,6,1,2,160,187500
733,11404,7,5,1153,1153,878,0,8,1,2,192,222500
734,10000,5,6,864,1144,0,1,6,1,1,165,131400
735,8978,5,5,948,948,0,0,6,0,1,147,108000
736,10800,7,7,880,880,888,0,6,2,2,0,163000
737,8544,3,4,0,1040,0,0,6,0,2,0,93500
738,10463,8,5,893,901,900,0,8,1,3,0,239900
739,10800,5,5,1200,1200,0,3,5,0,0,120,179000
740,9313,7,5,864,864,864,0,7,0,2,187,190000
741,9600,5,7,264,768,664,0,7,0,2,270,132000
742,6768,6,8,912,912,0,1,5,0,1,168,142000
743,8450,7,5,1349,1349,0,0,6,0,2,120,179000
744,12886,5,6,520,1464,0,0,6,1,2,302,175000
745,5395,8,5,1337,1337,0,1,5,1,2,96,180000
746,8963,8,9,1142,1175,1540,0,11,2,2,0,299800
747,8795,7,5,952,980,1276,0,8,1,2,224,236000
748,11700,7,7,1240,1320,1320,0,8,1,4,181,265979
749,10593,7,5,1720,1720,0,1,7,1,2,240,260400
750,8405,4,3,0,1088,441,0,9,0,1,92,98000
751,8800,4,7,576,792,348,0,7,0,0,0,96500
752,7750,7,5,660,660,660,0,6,0,2,0,162000
753,9236,6,5,1479,1494,0,1,6,0,2,168,217000
754,10240,8,5,1030,1038,1060,0,8,1,3,192,275500
755,7930,6,8,1026,1026,0,1,5,0,2,171,156000
756,3230,6,5,729,742,729,0,6,0,2,0,172500
757,10769,8,5,866,866,902,0,7,0,2,144,212000
758,11616,6,5,672,672,714,0,6,1,2,335,158900
759,2280,7,5,744,757,744,0,6,0,2,0,179400
760,12257,8,5,1318,1328,1203,0,9,1,3,222,290000
761,9100,6,6,864,864,0,0,5,0,1,0,127500
762,6911,5,5,1145,1301,0,0,5,0,2,0,100000
763,8640,7,5,756,764,783,0,7,0,2,169,215200
764,9430,8,5,1252,1268,1097,1,8,1,3,0,337000
765,9549,8,5,1494,1494,0,1,6,1,2,0,270000
766,14587,9,5,1498,1506,0,0,6,1,2,0,264132
767,10421,7,5,980,980,734,0,7,1,2,228,196500
768,12508,6,7,983,983,767,1,7,0,1,245,160000
769,9100,7,5,1860,1836,0,0,8,1,2,120,216837
770,53504,8,5,1650,1690,1589,1,12,1,3,503,538000
771,7252,5,5,858,858,0,1,5,0,2,120,134900
772,8877,4,5,836,1220,0,0,6,0,2,0,102000
773,7819,6,5,1029,1117,0,1,6,1,2,144,107000
774,10150,5,5,912,912,0,0,5,0,1,0,114500
775,14226,8,5,1935,1973,0,0,9,1,3,315,395000
776,4500,6,5,1204,1204,0,1,5,0,2,0,162000
777,11210,7,5,1614,1614,0,0,7,0,3,144,221500
778,13350,5,5,864,894,0,1,5,1,2,241,142500
779,8400,5,5,0,2020,0,0,10,2,2,0,144000
780,10530,6,5,975,1004,0,1,4,0,2,0,135000
781,7875,7,5,1237,1253,0,0,6,1,2,220,176000
782,7153,6,5,761,810,793,0,7,0,2,0,175900
783,16285,7,5,1413,1430,0,0,6,0,2,0,187100
784,9101,5,6,1097,1110,0,1,4,1,2,303,165500
785,6300,6,6,742,742,742,0,9,1,0,0,128000
786,9790,6,5,1372,1342,0,0,7,1,2,0,161500
787,10800,5,6,686,966,686,1,7,0,1,0,139000
788,10142,7,5,956,956,1128,1,8,0,2,0,233000
789,6000,4,7,901,901,0,0,4,0,1,0,107900
790,12205,6,8,832,976,1111,0,9,0,2,133,187500
791,3182,7,5,1145,1145,0,0,5,1,2,100,160200
792,11333,6,5,1029,1062,0,1,5,2,2,120,146800
793,9920,7,5,1117,1127,886,1,8,1,2,180,269790
794,9158,8,5,1496,1496,0,0,7,0,2,168,225000
795,10832,7,5,712,1086,809,0,7,1,2,143,194500
796,8400,6,6,650,888,676,0,7,1,2,0,171000
797,8197,6,5,660,1285,0,0,7,1,2,138,143500
798,7677,5,5,773,773,0,0,4,0,1,0,110000
799,13518,9,5,1926,1966,1174,0,11,2,3,144,485000
800,7200,5,7,731,981,787,1,7,2,1,0,175000
801,12798,6,5,616,616,1072,1,8,0,2,403,200000
802,4800,4,7,1196,1196,0,1,5,0,2,0,109900
803,8199,7,5,728,728,728,1,7,1,2,36,189000
804,13891,9,5,1734,1734,1088,0,12,1,3,52,582933
805,9000,5,5,936,1128,0,0,5,0,1,0,118000
806,12274,7,5,1417,1428,0,0,6,0,2,0,227680
807,9750,5,5,980,980,0,0,6,0,1,68,135500
808,21384,5,6,1324,1072,504,2,6,1,2,0,223500
809,13400,5,5,1024,1086,0,1,6,1,2,0,159950
810,8100,5,5,849,1075,1063,0,11,0,2,40,106000
811,10140,6,6,1040,1309,0,1,5,1,2,265,181000
812,4438,6,5,848,848,0,1,4,1,2,140,144500
813,8712,5,5,540,1044,0,0,4,0,2,0,55993
814,9750,6,6,1442,1442,0,0,7,0,1,0,157900
815,8248,5,7,686,686,564,0,7,0,1,207,116000
816,12137,7,5,1649,1661,0,0,6,0,2,0,224900
817,11425,5,6,1008,1008,0,0,4,1,1,0,137000
818,13265,8,5,1568,1689,0,1,7,2,3,150,271000
819,8816,6,7,1010,1052,0,1,6,0,2,0,155000
820,6371,7,5,1358,1358,0,1,6,1,2,192,224000
821,7226,7,5,798,798,842,0,6,0,2,0,183000
822,6000,4,4,936,936,0,0,4,0,2,0,93000
823,12394,7,5,847,847,886,0,7,1,2,100,225000
824,9900,6,7,778,944,545,0,7,1,1,335,139500
825,11216,8,5,1489,1489,0,0,7,1,2,0,232600
826,14803,10,5,2078,2084,0,1,7,1,3,188,385000
827,6130,5,6,784,784,0,1,5,0,0,0,109500
828,8529,7,5,1454,1434,0,0,6,1,2,290,189000
829,28698,5,5,1013,1160,966,0,7,0,2,486,185000
830,2544,7,5,600,520,623,0,4,0,2,0,147400
831,11900,6,5,1392,1392,0,1,6,2,2,0,166000
832,3180,7,5,600,520,600,0,4,0,2,0,151000
833,9548,7,6,941,941,888,1,7,1,2,192,237000
834,10004,6,6,1516,1516,0,0,6,0,2,0,167000
835,7875,5,6,1144,1144,0,1,6,0,2,0,139950
836,9600,4,7,1067,1067,0,0,4,0,2,290,128000
837,8100,5,6,1559,1559,0,1,5,0,2,0,153500
838,1680,6,5,483,483,504,1,5,0,1,0,100000
839,9525,5,6,1099,1099,0,0,6,0,1,278,144000
840,11767,5,6,768,768,432,0,6,0,1,0,130500
841,12155,6,8,672,810,672,0,7,0,1,0,140000
842,10440,5,8,650,958,581,0,8,1,2,70,157500
843,9020,6,7,1127,1165,0,1,6,0,2,0,174900
844,8000,5,4,1800,1800,0,0,10,0,0,0,141000
845,12665,5,8,876,876,540,0,7,1,3,418,153900
846,16647,5,5,1390,1701,0,1,6,2,2,0,171000
847,9317,7,5,740,1006,769,1,7,1,2,234,213000
848,15523,5,6,864,864,0,1,5,1,1,0,133500
849,45600,6,8,907,1307,1051,0,10,1,2,486,240000
850,9600,6,7,528,1094,761,0,7,1,2,113,187000
851,4435,6,5,848,848,0,1,3,0,2,140,131500
852,3196,8,5,1273,1456,0,0,7,1,2,143,215000
853,7128,7,5,918,918,728,0,7,2,1,0,164000
854,12095,6,6,1127,1445,0,0,7,1,2,180,158000
855,17920,5,4,1763,1779,0,1,6,1,2,0,170000
856,6897,5,8,1040,1040,0,1,6,0,1,0,127000
857,10970,6,6,940,1026,0,1,5,0,2,0,147000
858,8125,6,5,702,702,779,0,6,1,2,0,174000
859,10400,7,5,1090,1370,0,0,6,1,2,0,152000
860,11029,6,7,1054,1512,1142,1,9,1,2,0,250000
861,7642,7,8,912,912,514,0,7,1,1,0,189950
862,11625,5,4,1039,1039,0,1,6,0,2,0,131500
863,9672,6,5,1040,1097,0,0,6,0,2,0,152000
864,7931,5,5,1148,1148,0,1,6,0,1,0,132500
865,8640,7,5,1372,1372,0,0,6,0,2,0,250580
866,8750,5,6,1002,1002,0,1,5,0,2,0,148500
867,10656,8,5,1638,1646,0,0,6,1,3,192,248900
868,6970,4,5,1040,1120,0,1,5,0,2,168,129000
869,14762,5,6,0,1547,720,0,7,1,2,120,169000
870,9938,7,5,1050,1062,887,1,8,1,2,156,236000
871,6600,5,5,894,894,0,0,5,0,1,0,109500
872,8750,6,5,804,804,878,0,7,0,2,0,200500
873,8892,5,7,105,910,0,0,5,0,2,196,116000
874,12144,5,7,832,1036,0,0,6,1,1,0,133000
875,5720,5,6,676,676,455,0,5,0,1,26,66500
876,9000,8,5,1184,1184,1426,0,11,1,2,208,303477
877,25286,4,5,1064,1040,0,1,5,0,2,0,132250
878,8834,9,5,1462,1462,762,1,10,1,3,184,350000
879,11782,5,7,1109,1155,0,1,6,0,2,192,148000
880,7000,5,8,864,864,0,1,6,0,1,0,136500
881,7024,5,5,1090,1090,0,1,5,0,2,0,157000
882,13758,7,5,1156,1187,530,0,7,1,2,168,187500
883,9636,6,5,808,808,785,0,7,1,2,342,178000
884,6204,4,5,795,954,795,1,10,0,1,0,118500
885,7150,5,5,892,892,0,0,5,0,1,0,100000
886,5119,9,5,1698,1709,0,1,5,1,2,97,328900
887,8393,5,5,1626,1712,0,0,8,0,2,272,145000
888,16466,5,7,816,872,521,0,8,0,1,121,135500
889,15865,8,6,2217,2217,0,1,8,1,2,81,268000
890,12160,6,4,1505,1505,0,1,6,1,2,0,149500
891,8064,5,7,672,672,252,0,6,1,2,0,122900
892,11184,6,5,918,918,765,0,7,1,2,243,172500
893,8414,6,8,1059,1068,0,0,6,0,1,192,154500
894,13284,5,5,1383,1383,0,1,6,1,1,511,165000
895,7018,5,5,0,1535,0,0,8,0,2,0,118858
896,7056,6,5,780,983,813,1,8,1,2,0,140000
897,8765,4,6,951,951,0,0,6,0,1,0,106500
898,7018,5,5,0,1120,1120,0,12,0,2,154,142953
899,12919,9,5,2330,2364,0,1,11,2,3,0,611657
900,6993,5,7,912,1236,0,0,6,1,1,0,135000
901,7340,4,6,858,858,0,0,4,0,1,0,110000
902,8712,5,7,992,1306,0,1,5,0,1,0,153000
903,7875,7,5,783,807,702,0,8,1,2,0,180000
904,14859,7,5,1670,1670,0,0,7,1,3,144,240000
905,6173,5,6,876,902,0,0,6,0,1,0,125500
906,9920,5,5,1056,1063,0,1,6,0,1,0,128000
907,13501,8,5,1623,1636,0,1,8,1,3,0,255000
908,11500,7,7,1017,1020,1037,0,6,1,1,0,250000
909,8885,5,5,864,902,0,1,5,0,2,164,131000
910,12589,6,5,742,742,742,0,8,1,2,36,174000
911,11600,5,5,1105,1105,1169,0,12,0,2,0,154300
912,9286,5,7,1268,1268,0,0,5,0,1,173,143500
913,6120,5,7,768,1015,0,0,6,0,1,0,88000
914,6270,5,6,1001,1001,1001,0,8,0,3,0,145000
915,3000,6,5,612,612,612,0,4,0,2,0,173733
916,2001,4,5,546,546,546,0,6,0,1,0,75000
917,9000,2,3,480,480,0,1,4,0,1,0,35311
918,17140,4,6,1134,1229,0,0,6,0,1,0,135000
919,13125,7,5,1104,912,1215,1,8,1,3,72,238000
920,11029,6,8,1184,1414,0,1,6,1,2,0,176500
921,8462,6,5,928,936,785,0,7,0,2,300,201000
922,8777,5,7,1272,1272,928,2,9,0,0,0,145900
923,10237,6,5,1316,1316,0,0,6,1,2,100,169990
924,8012,6,5,1604,1617,0,1,5,1,2,0,193000
925,10240,6,6,1686,1686,0,1,7,1,2,384,207500
926,15611,5,6,1126,1126,0,0,6,0,2,180,175000
927,11999,8,5,1181,1234,1140,0,10,1,3,104,285000
928,9900,7,5,832,1098,880,0,9,1,2,0,176000
929,11838,8,5,1753,1788,0,0,7,1,2,202,236500
930,13006,7,5,964,993,1243,0,8,1,2,0,222000
931,8925,8,5,1466,1466,0,0,7,0,3,100,201000
932,9100,5,6,925,925,0,0,5,0,1,0,117500
933,11670,9,5,1905,1905,0,0,8,1,3,0,320000
934,8487,7,5,1500,1500,0,0,6,0,2,192,190000
935,27650,7,7,585,2069,0,1,9,1,2,0,242000
936,5825,4,5,600,747,0,0,5,0,2,0,79900
937,10083,7,5,1176,1200,0,1,5,0,2,0,184900
938,9675,7,5,1113,1113,858,0,8,1,2,0,253000
939,8760,7,5,1391,1391,571,0,7,0,3,0,239799
940,24090,7,7,1032,1207,1196,0,10,2,1,56,244400
941,12640,6,5,1728,1728,0,0,8,0,2,40,150900
942,8755,7,5,992,1022,1038,1,8,1,2,0,214000
943,7711,4,3,1440,1440,0,2,8,0,0,321,150000
944,25000,5,4,1632,1632,0,0,8,0,2,0,143000
945,14375,6,6,819,1344,0,0,7,1,2,0,137500
946,8820,5,6,1088,1188,561,0,7,0,2,48,124900
947,8163,5,6,1144,1144,0,1,6,1,1,86,143000
948,14536,8,5,1616,1629,0,1,9,1,3,0,270000
949,14006,7,5,936,936,840,0,7,1,2,144,192500
950,9360,6,7,1161,1381,0,1,5,1,2,0,197500
